pdf,page,issue_type,severity,details,bbox_points_x0_y0_x1_y1,bbox_inches_x0_y0_x1_y1,link_or_target,visible_text_in_link_rect
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/07 Equipment.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,321.64,579.30,460.41","0.500,4.467,8.046,6.395",,The lab owns a dedicated cluster consisting of 12 nodes with a total of 928 CPU cores. Each node has 384–1024 GB of memory and 727–894 GB solid-state local drives. Six nodes contain GPU capabilities totaling 15 GPUs (14 Nvidia L40S and one Nvidia A100). The laboratory has 386 terabytes (TB) of netw…
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/07 Equipment.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,470.77,578.95,558.95","0.500,6.539,8.041,7.763",,"Microscopy: My proposed research will also be supported by extensive shared microscopy infrastructure across the Departments of Genome Sciences and Biology. These resources include multiple widefield and confocal microscopes suitable for live imaging, fluorescence imaging, and high-throughput pheno…"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/08 Facilities and other resources.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,56.31,579.34,195.09","0.500,0.782,8.046,2.710",,Scientific Environment: The Trapnell Lab and the Department of Genome Sciences at the University of Washington will serve as an excellent scientific environment for me to conduct the proposed research and training plan. The Department of Genome Sciences tackles leading-edge biological and health-re…
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/08 Facilities and other resources.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,200.44,579.22,301.28","0.500,2.784,8.045,4.184",,"There are significant opportunities for intellectual interaction with other members of Genome Sciences and the broader scientific community. There are weekly Genome Sciences seminars featuring leading researchers from a broad spectrum of scientific areas to discuss the latest advances in genetics, …"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/08 Facilities and other resources.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,306.63,579.29,382.17","0.500,4.259,8.046,5.308",,"Additional support services and facilities within the Department of Genome Sciences include cold rooms, tissue culture rooms, a fluorescence-activated cell sorting facility, radioisotope areas, dark rooms, microscopy rooms, an autoclave and media preparation room, freezer farm, and constant tempera…"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/08 Facilities and other resources.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,392.53,579.00,518.66","0.500,5.452,8.042,7.204",,"Computer: The Department’s computational resources are housed in a data center with redundant cooling, UPS/Generator backed power, seismically braced racks, and keycard-controlled access. The Genome Sciences network is designed with ubiquitous storage access, which allows researchers to directly ac…"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/08 Facilities and other resources.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,529.02,579.13,604.55","0.500,7.347,8.043,8.397",,"Laboratory: The Trapnell lab comprises approximately 2,000 square feet of space in the Foege Building on the main campus of the University of Washington. The lab consists of three bays with space for approximately 9 experimentally-oriented researchers, “dry lab” office space for up to 14 computatio…"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/08 Facilities and other resources.pdf,1,margin_intrusion_layout,flag,text block intersects required margin: right.,"36.00,614.91,579.26,690.44","0.500,8.540,8.045,9.589",,"Animal: Zebrafish are housed in two main facilities (and an additional quarantine room for fish coming from external sources) located in close proximity that are shared with the labs of David Raible, Ajay Dhaka, and Rachel Wong. The facility has ~1850 tanks of various sizes, which is enough for all…"
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,object,raw_pdf_action_or_external_object,review,"xref 27 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (https://orcid.org/0000-0002-9261-4506) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 250.5 678 402.75 689.25 ] >>,
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,object,raw_pdf_action_or_external_object,review,"xref 28 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC10665197/) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 108.75 346.5 168 357.75 ] >>,
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,object,raw_pdf_action_or_external_object,review,"xref 29 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC11178971/) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 342 309 401.25 320.25 ] >>,
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,object,raw_pdf_action_or_external_object,review,"xref 30 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC11996465/) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 261 271.5 320.25 282.75 ] >>,
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,object,raw_pdf_action_or_external_object,review,"xref 31 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC11996557/) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 228 234 287.25 245.25 ] >>,
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,object,raw_pdf_action_or_external_object,review,"xref 32 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC12167839/) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 244.5 196.5 303.75 207.75 ] >>,
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,object,raw_pdf_action_or_external_object,review,"xref 33 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3465166/) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 386.25 159 441 170.25 ] >>,
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,object,raw_pdf_action_or_external_object,review,"xref 34 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3003196/) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 253.5 132.75 308.25 144 ] >>,
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,object,raw_pdf_action_or_external_object,review,"xref 35 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2601683/) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 307.5 106.5 362.25 117.75 ] >>,
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,object,raw_pdf_action_or_external_object,review,"xref 43 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5560127/) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 246 738 300.75 749.25 ] >>,
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,object,raw_pdf_action_or_external_object,review,"xref 44 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC8217712/) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 438 711.75 492.75 723 ] >>,
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,object,raw_pdf_action_or_external_object,review,"xref 51 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (https://orcid.org/0000-0002-9261-4506) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 250.5 678 402.75 689.25 ] >>,
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,1,external_or_action_link_annotation,flag,"Clickable link annotation: URI. Target appears to be visible URL-like text, but confirm this attachment allows links/URLs.","250.50,102.75,402.75,114.00","3.479,1.427,5.594,1.583",uri=https://orcid.org/0000-0002-9261-4506; xref=27,https://orcid.org/0000-0002-9261-4506
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,1,hidden_or_hypertext_link_suspect,flag,Clickable link annotation: URI. Target is not visibly printed as URL/DOI/email text in the link rectangle.,"108.75,434.25,168.00,445.50","1.510,6.031,2.333,6.188",uri=http://www.ncbi.nlm.nih.gov/pmc/articles/PMC10665197/; xref=28,PMC10665197.
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,1,hidden_or_hypertext_link_suspect,flag,Clickable link annotation: URI. Target is not visibly printed as URL/DOI/email text in the link rectangle.,"342.00,471.75,401.25,483.00","4.750,6.552,5.573,6.708",uri=http://www.ncbi.nlm.nih.gov/pmc/articles/PMC11178971/; xref=29,PMC11178971.
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,1,hidden_or_hypertext_link_suspect,flag,Clickable link annotation: URI. Target is not visibly printed as URL/DOI/email text in the link rectangle.,"261.00,509.25,320.25,520.50","3.625,7.073,4.448,7.229",uri=http://www.ncbi.nlm.nih.gov/pmc/articles/PMC11996465/; xref=30,PMC11996465.
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,1,hidden_or_hypertext_link_suspect,flag,Clickable link annotation: URI. Target is not visibly printed as URL/DOI/email text in the link rectangle.,"228.00,546.75,287.25,558.00","3.167,7.594,3.990,7.750",uri=http://www.ncbi.nlm.nih.gov/pmc/articles/PMC11996557/; xref=31,PMC11996557.
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,1,hidden_or_hypertext_link_suspect,flag,Clickable link annotation: URI. Target is not visibly printed as URL/DOI/email text in the link rectangle.,"244.50,584.25,303.75,595.50","3.396,8.115,4.219,8.271",uri=http://www.ncbi.nlm.nih.gov/pmc/articles/PMC12167839/; xref=32,PMC12167839.
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,1,hidden_or_hypertext_link_suspect,flag,Clickable link annotation: URI. Target is not visibly printed as URL/DOI/email text in the link rectangle.,"386.25,621.75,441.00,633.00","5.365,8.635,6.125,8.792",uri=http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3465166/; xref=33,PMC3465166.
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,1,hidden_or_hypertext_link_suspect,flag,Clickable link annotation: URI. Target is not visibly printed as URL/DOI/email text in the link rectangle.,"253.50,648.00,308.25,659.25","3.521,9.000,4.281,9.156",uri=http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3003196/; xref=34,PMC3003196.
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,1,hidden_or_hypertext_link_suspect,flag,Clickable link annotation: URI. Target is not visibly printed as URL/DOI/email text in the link rectangle.,"307.50,674.25,362.25,685.50","4.271,9.365,5.031,9.521",uri=http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2601683/; xref=35,PMC2601683.
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,2,hidden_or_hypertext_link_suspect,flag,Clickable link annotation: URI. Target is not visibly printed as URL/DOI/email text in the link rectangle.,"246.00,42.75,300.75,54.00","3.417,0.594,4.177,0.750",uri=http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5560127/; xref=43,PMC5560127.
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,2,hidden_or_hypertext_link_suspect,flag,Clickable link annotation: URI. Target is not visibly printed as URL/DOI/email text in the link rectangle.,"438.00,69.00,492.75,80.25","6.083,0.958,6.844,1.115",uri=http://www.ncbi.nlm.nih.gov/pmc/articles/PMC8217712/; xref=44,PMC8217712.
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10A Kimelman Biosketch SciEnv 5-2026.pdf,3,external_or_action_link_annotation,flag,"Clickable link annotation: URI. Target appears to be visible URL-like text, but confirm this attachment allows links/URLs.","250.50,102.75,402.75,114.00","3.479,1.427,5.594,1.583",uri=https://orcid.org/0000-0002-9261-4506; xref=51,https://orcid.org/0000-0002-9261-4506
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10B Trapnell  Biosketch SciENcv.pdf,object,raw_pdf_action_or_external_object,review,"xref 27 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (https://orcid.org/0000-0002-8105-4347) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 250.5 678 402.75 689.25 ] >>,
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10B Trapnell  Biosketch SciENcv.pdf,object,raw_pdf_action_or_external_object,review,"xref 28 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC7289078/) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 326.25 316.5 381 327.75 ] >>,
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10B Trapnell  Biosketch SciENcv.pdf,object,raw_pdf_action_or_external_object,review,"xref 29 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC10665197/) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 108.75 279 168 290.25 ] >>,
/Users/nick/Library/CloudStorage/GoogleDrive-nlammers@uw.edu/My Drive/projects/K99/Materials/_FINAL SUBMISSION/Lammers K99 Final/sanitized and checked/10B Trapnell  Biosketch SciENcv.pdf,object,raw_pdf_action_or_external_object,review,"xref 30 contains /URI. This may indicate links, actions, JavaScript, attachments, or embedded files.",,,<< /A << /S /URI /Type /Action /URI (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC11178971/) >> /Subtype /Link /Type /Annot /Border [ 0 0 0 ] /Rect [ 342 241.5 401.25 252.75 ] >>,
