Zebrafish Gene ID,Zebrafish Gene Symbol,Human Ortholog Entrez Gene Id,Human Ortholog Symbol,tf_ensembl_id,tf_gene_short_name,tf_family,tf_entrez_id,zf_symbol_key,paralog_suffix,paralog_stem,effective_gene_key,is_ab_paralog_group,n_passing_cell_types,max_avg_expr,max_frac_expr,n_observed_cell_types
ZDB-GENE-050419-198,smad6b,4091,SMAD6,ENSDARG00000031763,smad6b,MH1,564395,smad6b,b,smad6,smad6,True,17,3.4,0.866666666666667,114.0
ZDB-GENE-060421-4643,bcl11aa,53335,BCL11A,ENSDARG00000061352,bcl11aa,zf-C2H2,678650,bcl11aa,a,bcl11a,bcl11a,True,17,2.69033232628399,0.764705882352941,114.0
ZDB-GENE-041001-139,bach2b,60468,BACH2,ENSDARG00000004074,bach2b,TF_bZIP,555350,bach2b,b,bach2,bach2,True,16,1.65,0.636363636363636,114.0
ZDB-GENE-000405-1,pbx1a,5087,PBX1,ENSDARG00000100494,pbx1a,Homeobox,58138,pbx1a,a,pbx1,pbx1,True,15,3.65454545454545,0.818181818181818,114.0
ZDB-GENE-980526-284,raraa,5914,RARA,ENSDARG00000056783,raraa,THR-like,30680,raraa,a,rara,rara,True,15,2.91705069124424,0.846153846153846,114.0
ZDB-GENE-070912-553,zeb2a,9839,ZEB2,ENSDARG00000062338,zeb2a,zf-C2H2,100003889,zeb2a,a,zeb2,zeb2,True,13,3.82738095238095,0.854748603351955,114.0
ZDB-GENE-041114-176,mllt10,8028,MLLT10,ENSDARG00000045401,mllt10,Others,492342,mllt10,,mllt10,mllt10,False,13,1.52386780905753,0.727272727272727,114.0
ZDB-GENE-060421-5000,nfixb,4784,NFIX,ENSDARG00000061836,nfixb,CTF/NFI,678521,nfixb,b,nfix,nfix,True,12,3.49038461538462,0.605769230769231,114.0
ZDB-GENE-030819-1,tp63,8626,TP63,ENSDARG00000044356,tp63,P53,260407,tp63,,tp63,tp63,False,11,3.36363636363636,0.848837209302326,114.0
ZDB-GENE-991110-8,tcf7l2,6934,TCF7L2,ENSDARG00000004415,tcf7l2,HMG,30510,tcf7l2,,tcf7l2,tcf7l2,False,11,2.41414141414141,0.828282828282828,114.0
ZDB-GENE-990415-163,mef2aa,4205,MEF2A,ENSDARG00000031756,mef2aa,SRF,30564,mef2aa,a,mef2a,mef2a,True,10,4.10655737704918,0.89344262295082,114.0
ZDB-GENE-990714-26,lef1,51176,LEF1,ENSDARG00000031894,lef1,HMG,30701,lef1,,lef1,lef1,False,10,2.2551724137931,0.701030927835051,114.0
ZDB-GENE-091013-5,tead1b,7003,TEAD1,ENSDARG00000059483,tead1b,TEA,100006454,tead1b,b,tead1,tead1,True,10,2.23630136986301,0.655821917808219,114.0
ZDB-GENE-040901-7,mef2cb,4208,MEF2C,ENSDARG00000009418,mef2cb,SRF,798771,mef2cb,b,mef2c,mef2c,True,9,7.31333333333333,0.873333333333333,114.0
ZDB-GENE-980526-52,pax3a,5077,PAX3,ENSDARG00000010192,pax3a,PAX,30532,pax3a,a,pax3,pax3,True,9,5.5030599755202,0.904522613065327,114.0
ZDB-GENE-070319-1,rbpjb,3516,RBPJ,ENSDARG00000052091,rbpjb,CSL,563306,rbpjb,b,rbpj,rbpj,True,8,2.57142857142857,0.693121693121693,114.0
ZDB-GENE-020122-2,meis2a,4212,MEIS2,ENSDARG00000098240,meis2a,Homeobox,170454,meis2a,a,meis2,meis2,True,8,1.97777777777778,0.8,114.0
ZDB-GENE-990415-8,pax2a,5076,PAX2,ENSDARG00000028148,pax2a,PAX,30425,pax2a,a,pax2,pax2,True,7,7.6,1.0,114.0
ZDB-GENE-980526-440,cbfb,865,CBFB,ENSDARG00000040917,cbfb,CBF,30744,cbfb,b,cbf,cbfb,False,7,2.82222222222222,0.822222222222222,114.0
ZDB-GENE-040516-11,tcf12,6938,TCF12,ENSDARG00000004714,tcf12,bHLH,407985,tcf12,,tcf12,tcf12,False,7,2.2,0.723214285714286,114.0
ZDB-GENE-030723-2,nfe2l2a,4780,NFE2L2,ENSDARG00000042824,nfe2l2a,TF_bZIP,360149,nfe2l2a,a,nfe2l2,nfe2l2,True,7,2.0,0.882352941176471,114.0
ZDB-GENE-061207-62,bcl11ba,64919,BCL11B,ENSDARG00000062510,bcl11ba,zf-C2H2,100093707,bcl11ba,a,bcl11b,bcl11b,True,6,5.15151515151515,0.858585858585859,114.0
ZDB-GENE-030131-3148,hmga2,8091,HMGA2,ENSDARG00000069912,hmga2,HMGA,324428,hmga2,,hmga2,hmga2,False,6,1.68867924528302,0.69811320754717,114.0
ZDB-GENE-081104-176,cux2b,23316,CUX2,ENSDARG00000086345,cux2b,CUT,565530,cux2b,b,cux2,cux2,True,6,1.45454545454545,0.636363636363636,114.0
ZDB-GENE-070705-340,kmt2cb,58508,KMT2C,ENSDARG00000075560,kmt2cb,HMG,568162,kmt2cb,b,kmt2c,kmt2c,True,6,1.325,0.725,114.0
ZDB-GENE-060130-4,zfpm2a,23414,ZFPM2,ENSDARG00000040123,zfpm2a,zf-C2H2,568996,zfpm2a,a,zfpm2,zfpm2,True,5,6.28925619834711,0.71900826446281,114.0
ZDB-GENE-090312-183,camta1a,23261,CAMTA1,ENSDARG00000077428,camta1a,CG-1,797322,camta1a,a,camta1,camta1,True,5,3.25714285714286,1.0,114.0
ZDB-GENE-061013-59,foxo1a,2308,FOXO1,ENSDARG00000099555,foxo1a,Fork_head,768121,foxo1a,a,foxo1,foxo1,True,5,2.33179723502304,0.625,114.0
ZDB-GENE-020529-1,tbx15,6913,TBX15,ENSDARG00000002582,tbx15,T-box,246222,tbx15,,tbx15,tbx15,False,5,2.29640718562874,0.9,114.0
ZDB-GENE-080917-54,pax7b,5081,PAX7,ENSDARG00000070818,pax7b,PAX,566533,pax7b,b,pax7,pax7,True,4,4.0,0.5,114.0
ZDB-GENE-030219-181,creb3l1,90993,CREB3L1,ENSDARG00000015793,creb3l1,TF_bZIP,338317,creb3l1,,creb3l1,creb3l1,False,4,1.89554794520548,0.772260273972603,114.0
ZDB-GENE-010502-1,hmga1a,3159,HMGA1,ENSDARG00000028335,hmga1a,HMGA,406447,hmga1a,a,hmga1,hmga1,True,4,1.81853281853282,0.75,114.0
ZDB-GENE-100922-169,ikzf2,22807,IKZF2,ENSDARG00000069111,IKZF2,zf-C2H2,100150224,ikzf2,,ikzf2,ikzf2,False,4,1.72383073496659,0.688195991091314,114.0
ZDB-GENE-011212-6,tfap2a,7020,TFAP2A,ENSDARG00000059279,tfap2a,AP-2,140618,tfap2a,a,tfap2,tfap2,True,4,1.375,0.75,114.0
ZDB-GENE-980526-164,spi1b,6688,SPI1,ENSDARG00000000767,spi1b,ETS,30117,spi1b,b,spi1,spi1,True,3,1.75,0.694444444444444,114.0
ZDB-GENE-121009-1,tub,7275,TUB,ENSDARG00000062165,tub,Tub,568677,tub,b,tu,tub,False,3,1.74545454545455,0.6,114.0
ZDB-GENE-050208-123,mecom,2122,MECOM,ENSDARG00000060808,mecom,zf-C2H2,-,mecom,,mecom,mecom,False,3,1.72727272727273,0.772727272727273,114.0
ZDB-GENE-980526-558,wt1a,7490,WT1,ENSDARG00000031420,wt1a,zf-C2H2,30245,wt1a,a,wt1,wt1,True,2,2.13636363636364,0.571146245059289,114.0
ZDB-GENE-050522-534,gfi1aa,2672,GFI1,ENSDARG00000020746,gfi1aa,zf-C2H2,553814,gfi1aa,a,gfi1a,gfi1a,True,2,2.0289156626506,0.655421686746988,114.0
ZDB-GENE-991207-19,nr6a1a,2649,NR6A1,ENSDARG00000101508,nr6a1a,GCNF-like,30506,nr6a1a,a,nr6a1,nr6a1,True,2,1.88888888888889,0.9,114.0
ZDB-GENE-990415-268,thrb,7068,THRB,ENSDARG00000021163,thrb,THR-like,30607,thrb,b,thr,thrb,False,2,1.53661464585834,0.548387096774194,114.0
ZDB-GENE-080613-2,prdm16,63976,PRDM16,ENSDARG00000078324,PRDM16,zf-C2H2,-,prdm16,,prdm16,prdm16,False,2,1.38095238095238,0.642857142857143,114.0
ZDB-GENE-041229-4,pitx3,5309,PITX3,ENSDARG00000070069,pitx3,Homeobox,402974,pitx3,,pitx3,pitx3,False,2,1.34782608695652,0.534782608695652,114.0
ZDB-GENE-080403-10,vdrb,7421,VDR,ENSDARG00000070721,vdrb,THR-like,564511,vdrb,b,vdr,vdr,True,2,1.32046332046332,0.529411764705882,114.0
ZDB-GENE-060503-719,grhl2b,79977,GRHL2,ENSDARG00000061974,grhl2b,CP2,100034503,grhl2b,b,grhl2,grhl2,True,2,1.1897233201581,0.577075098814229,114.0
ZDB-GENE-030131-5725,arid1ab,8289,ARID1A,ENSDARG00000101891,arid1ab,ARID,568161,arid1ab,b,arid1a,arid1a,True,2,1.18604651162791,0.6,114.0
ZDB-GENE-040616-2,esrrb,2103,ESRRB,ENSDARG00000004861,esrrb,ESR-like,405890,esrrb,b,esrr,esrrb,False,2,1.13333333333333,0.571428571428571,114.0
ZDB-GENE-990714-27,pitx2,5308,PITX2,ENSDARG00000036194,pitx2,Homeobox,30164,pitx2,,pitx2,pitx2,False,2,1.10204081632653,0.518672199170125,114.0
ZDB-GENE-060531-23,nr3c2,4306,NR3C2,ENSDARG00000102082,nr3c2,ESR-like,562171,nr3c2,,nr3c2,nr3c2,False,2,1.07142857142857,0.642857142857143,114.0
ZDB-GENE-060526-72,setbp1,26040,SETBP1,ENSDARG00000093799,setbp1,Others,796785,setbp1,,setbp1,setbp1,False,2,1.05,0.7,114.0
ZDB-GENE-980526-35,tfa,7018,TF,ENSDARG00000016771,tfa,Others,30255,tfa,a,tf,tfa,False,1,9.52238805970149,0.917741935483871,114.0
ZDB-GENE-070712-3,alx4a,60529,ALX4,ENSDARG00000088332,alx4a,Homeobox,100006399,alx4a,a,alx4,alx4,True,1,3.79166666666667,0.633333333333333,114.0
ZDB-GENE-040630-7,pou1f1,5449,POU1F1,ENSDARG00000058924,pou1f1,Pou,405777,pou1f1,,pou1f1,pou1f1,False,1,3.46511627906977,0.342857142857143,114.0
ZDB-GENE-040702-6,nr5a1b,2516,NR5A1,ENSDARG00000023362,nr5a1b,SF-like,405759,nr5a1b,b,nr5a1,nr5a1,True,1,3.0625,0.9375,114.0
ZDB-GENE-060306-2,roraa,6095,RORA,ENSDARG00000031768,roraa,THR-like,564951,roraa,a,rora,rora,True,1,2.90149253731343,0.456716417910448,114.0
ZDB-GENE-041203-2,foxp2,93986,FOXP2,ENSDARG00000005453,foxp2,Fork_head,555242,foxp2,,foxp2,foxp2,False,1,2.49395770392749,0.432432432432432,114.0
ZDB-GENE-011210-2,xbp1,7494,XBP1,ENSDARG00000035622,xbp1,TF_bZIP,140614,xbp1,,xbp1,xbp1,False,1,2.16494845360825,0.742268041237113,114.0
ZDB-GENE-061204-2,rorb,6096,RORB,ENSDARG00000033498,rorb,THR-like,567943,rorb,b,ror,rorb,False,1,2.04545454545455,0.772727272727273,114.0
ZDB-GENE-001207-3,arnt2,9915,ARNT2,ENSDARG00000103697,arnt2,bHLH,64277,arnt2,,arnt2,arnt2,False,1,2.0,0.722222222222222,114.0
ZDB-GENE-040708-1,prdm5,11107,PRDM5,ENSDARG00000006288,prdm5,zf-C2H2,432371,prdm5,,prdm5,prdm5,False,1,1.5,0.55,114.0
ZDB-GENE-131023-1,creb3l3b,84699,CREB3L3,ENSDARG00000090903,creb3l3b,TF_bZIP,100538072,creb3l3b,b,creb3l3,creb3l3,True,1,1.38507462686567,0.528358208955224,114.0
ZDB-GENE-070824-4,nr4a3,8013,NR4A3,ENSDARG00000055854,nr4a3,NGFIB-like,548604,nr4a3,,nr4a3,nr4a3,False,1,1.31313131313131,0.686868686868687,114.0
ZDB-GENE-050522-503,nr3c1,2908,NR3C1,ENSDARG00000025032,nr3c1,ESR-like,553740,nr3c1,,nr3c1,nr3c1,False,1,1.3044776119403,0.522388059701492,114.0
ZDB-GENE-980526-499,stat1a,6772,STAT1,ENSDARG00000006266,stat1a,STAT,30768,stat1a,a,stat1,stat1,True,1,1.21428571428571,0.571428571428571,114.0
ZDB-GENE-060131-1,ar,367,AR,ENSDARG00000067976,ar,ESR-like,100005148,ar,,ar,ar,False,1,1.1875,0.75,114.0
ZDB-GENE-990415-200,pax6a,5080,PAX6,ENSDARG00000103379,pax6a,PAX,30567,pax6a,a,pax6,pax6,True,1,1.16666666666667,0.568627450980392,114.0
ZDB-GENE-980526-68,stat3,6774,STAT3,ENSDARG00000022712,stat3,STAT,30767,stat3,,stat3,stat3,False,1,1.15555555555556,0.511111111111111,114.0
ZDB-GENE-060607-11,epas1b,2034,EPAS1,ENSDARG00000057671,epas1b,Others,555192,epas1b,b,epas1,epas1,True,1,1.05882352941176,0.470588235294118,114.0
ZDB-GENE-080204-57,myrf,745,MYRF,ENSDARG00000078676,myrf,NDT80/PhoG,570792,myrf,,myrf,myrf,False,1,1.03550295857988,0.568047337278107,114.0
ZDB-GENE-980526-501,tal1,6886,TAL1,ENSDARG00000019930,tal1,bHLH,30766,tal1,,tal1,tal1,False,1,1.02730375426621,0.559726962457338,114.0
ZDB-GENE-990603-7,smad2,4087,SMAD2,ENSDARG00000006389,smad2,MH1,30639,smad2,,smad2,smad2,False,1,1.00666666666667,0.526666666666667,114.0
