Zebrafish Gene ID,Zebrafish Gene Symbol,Human Ortholog Entrez Gene Id,Human Ortholog Symbol,tf_ensembl_id,tf_gene_short_name,tf_family,tf_entrez_id,zf_symbol_key,n_passing_cell_types,max_avg_expr,max_frac_expr,n_observed_cell_types
ZDB-GENE-040516-11,tcf12,6938,TCF12,ENSDARG00000004714,tcf12,bHLH,407985,tcf12,82,2.2,0.723214285714286,114.0
ZDB-GENE-050208-501,nfia,4774,NFIA,ENSDARG00000062420,nfia,CTF/NFI,556665,nfia,78,3.34872979214781,0.760869565217391,114.0
ZDB-GENE-030131-4368,znf423,23090,ZNF423,ENSDARG00000059707,ZNF423,zf-C2H2,566696,znf423,78,2.74455899198167,0.827033218785796,114.0
ZDB-GENE-061009-4,bcl11ab,53335,BCL11A,ENSDARG00000063153,bcl11ab,zf-C2H2,566491,bcl11ab,77,2.11764705882353,0.764705882352941,114.0
ZDB-GENE-010621-1,zeb1b,6935,ZEB1,ENSDARG00000013207,zeb1b,zf-C2H2,114425,zeb1b,75,7.46666666666667,0.933333333333333,114.0
ZDB-GENE-060421-4643,bcl11aa,53335,BCL11A,ENSDARG00000061352,bcl11aa,zf-C2H2,678650,bcl11aa,75,2.69033232628399,0.764705882352941,114.0
ZDB-GENE-001207-3,arnt2,9915,ARNT2,ENSDARG00000103697,arnt2,bHLH,64277,arnt2,73,2.0,0.722222222222222,114.0
ZDB-GENE-060526-72,setbp1,26040,SETBP1,ENSDARG00000093799,setbp1,Others,796785,setbp1,73,1.05,0.7,114.0
ZDB-GENE-050419-198,smad6b,4091,SMAD6,ENSDARG00000031763,smad6b,MH1,564395,smad6b,71,3.4,0.866666666666667,114.0
ZDB-GENE-041111-162,gli3,2737,GLI3,ENSDARG00000052131,gli3,zf-C2H2,403042,gli3,69,3.27385892116183,0.740493662441628,114.0
ZDB-GENE-990706-8,gli2a,2736,GLI2,ENSDARG00000025641,gli2a,zf-C2H2,30154,gli2a,68,3.92378048780488,0.935975609756098,114.0
ZDB-GENE-000405-1,pbx1a,5087,PBX1,ENSDARG00000100494,pbx1a,Homeobox,58138,pbx1a,66,3.65454545454545,0.818181818181818,114.0
ZDB-GENE-070112-292,ebf3a,253738,EBF3,ENSDARG00000099849,ebf3a,COE,565310,ebf3a,60,12.4,1.0,114.0
ZDB-GENE-030131-5784,bnc2,54796,BNC2,ENSDARG00000069989,bnc2,zf-C2H2,559327,bnc2,60,3.78698224852071,0.84,114.0
ZDB-GENE-000607-13,sox5,6660,SOX5,ENSDARG00000011582,sox5,HMG,567413,sox5,59,5.6,0.95,114.0
ZDB-GENE-990415-163,mef2aa,4205,MEF2A,ENSDARG00000031756,mef2aa,SRF,30564,mef2aa,59,4.10655737704918,0.89344262295082,114.0
ZDB-GENE-030131-4459,arid1b,57492,ARID1B,ENSDARG00000092503,arid1b,ARID,569589,arid1b,59,0.5,0.360655737704918,114.0
ZDB-GENE-070112-292,ebf3a,253738,EBF3,ENSDARG00000100244,ebf3a,COE,567751,ebf3a,58,12.0888888888889,0.977777777777778,114.0
ZDB-GENE-020122-2,meis2a,4212,MEIS2,ENSDARG00000098240,meis2a,Homeobox,170454,meis2a,58,1.97777777777778,0.8,114.0
ZDB-GENE-990714-26,lef1,51176,LEF1,ENSDARG00000031894,lef1,HMG,30701,lef1,57,2.2551724137931,0.701030927835051,114.0
ZDB-GENE-100923-1,zbtb16b,7704,ZBTB16,ENSDARG00000074526,zbtb16b,ZBTB,569773,zbtb16b,56,2.92857142857143,0.826923076923077,114.0
ZDB-GENE-070912-553,zeb2a,9839,ZEB2,ENSDARG00000062338,zeb2a,zf-C2H2,100003889,zeb2a,54,3.82738095238095,0.854748603351955,114.0
ZDB-GENE-060421-5000,nfixb,4784,NFIX,ENSDARG00000061836,nfixb,CTF/NFI,678521,nfixb,54,3.49038461538462,0.605769230769231,114.0
ZDB-GENE-980526-284,raraa,5914,RARA,ENSDARG00000056783,raraa,THR-like,30680,raraa,53,2.91705069124424,0.846153846153846,114.0
ZDB-GENE-050114-2,lmx1bb,4010,LMX1B,ENSDARG00000068365,lmx1bb,Homeobox,554360,lmx1bb,50,15.0526315789474,1.0,114.0
ZDB-GENE-030820-3,tshz1,10194,TSHZ1,ENSDARG00000005026,tshz1,zf-C2H2,369196,tshz1,49,0.909547738693467,0.489795918367347,114.0
ZDB-GENE-040426-2101,tead1a,7003,TEAD1,ENSDARG00000028159,tead1a,TEA,405773,tead1a,46,0.909090909090909,0.548387096774194,114.0
ZDB-GENE-990415-268,thrb,7068,THRB,ENSDARG00000021163,thrb,THR-like,30607,thrb,45,1.53661464585834,0.548387096774194,114.0
ZDB-GENE-980526-440,cbfb,865,CBFB,ENSDARG00000040917,cbfb,CBF,30744,cbfb,44,2.82222222222222,0.822222222222222,114.0
ZDB-GENE-060929-624,foxp1a,27086,FOXP1,ENSDARG00000004843,foxp1a,Fork_head,564127,foxp1a,44,2.4021164021164,0.8,114.0
ZDB-GENE-010502-1,hmga1a,3159,HMGA1,ENSDARG00000028335,hmga1a,HMGA,406447,hmga1a,43,1.81853281853282,0.75,114.0
ZDB-GENE-990603-7,smad2,4087,SMAD2,ENSDARG00000006389,smad2,MH1,30639,smad2,42,1.00666666666667,0.526666666666667,114.0
ZDB-GENE-090312-98,tet2,54790,TET2,ENSDARG00000076928,tet2,Others,101887161,tet2,39,0.611111111111111,0.444444444444444,114.0
ZDB-GENE-991207-19,nr6a1a,2649,NR6A1,ENSDARG00000101508,nr6a1a,GCNF-like,30506,nr6a1a,37,1.88888888888889,0.9,114.0
ZDB-GENE-030131-3148,hmga2,8091,HMGA2,ENSDARG00000069912,hmga2,HMGA,324428,hmga2,37,1.68867924528302,0.69811320754717,114.0
ZDB-GENE-050522-503,nr3c1,2908,NR3C1,ENSDARG00000025032,nr3c1,ESR-like,553740,nr3c1,37,1.3044776119403,0.522388059701492,114.0
ZDB-GENE-081104-176,cux2b,23316,CUX2,ENSDARG00000086345,cux2b,CUT,565530,cux2b,35,1.45454545454545,0.636363636363636,114.0
ZDB-GENE-070424-11,pbx1b,5087,PBX1,ENSDARG00000101131,pbx1b,Homeobox,570960,pbx1b,34,2.75296442687747,0.659090909090909,114.0
ZDB-GENE-041014-354,hivep2a,3097,HIVEP2,ENSDARG00000039987,hivep2a,zf-C2H2,562048,hivep2a,34,0.9,0.45360824742268,114.0
ZDB-GENE-061207-62,bcl11ba,64919,BCL11B,ENSDARG00000062510,bcl11ba,zf-C2H2,100093707,bcl11ba,33,5.15151515151515,0.858585858585859,114.0
ZDB-GENE-050114-3,lmx1ba,4010,LMX1B,ENSDARG00000104815,lmx1ba,Homeobox,554361,lmx1ba,32,6.8,0.733333333333333,114.0
ZDB-GENE-070112-1992,zbtb20,26137,ZBTB20,ENSDARG00000005586,zbtb20,ZBTB,568779,zbtb20,32,0.963186813186813,0.517582417582418,114.0
ZDB-GENE-080717-1,zeb2b,9839,ZEB2,ENSDARG00000078416,zeb2b,zf-C2H2,564934,zeb2b,31,1.71794871794872,0.619047619047619,114.0
ZDB-GENE-040901-7,mef2cb,4208,MEF2C,ENSDARG00000009418,mef2cb,SRF,798771,mef2cb,30,7.31333333333333,0.873333333333333,114.0
ZDB-GENE-030128-3,smad7,4092,SMAD7,ENSDARG00000016858,smad7,MH1,326282,smad7,30,0.781537753222836,0.453729281767956,114.0
ZDB-GENE-011212-6,tfap2a,7020,TFAP2A,ENSDARG00000059279,tfap2a,AP-2,140618,tfap2a,29,1.375,0.75,114.0
ZDB-GENE-000509-3,smad3a,4088,SMAD3,ENSDARG00000036096,smad3a,MH1,58092,smad3a,28,0.709897610921502,0.428571428571429,114.0
ZDB-GENE-980526-52,pax3a,5077,PAX3,ENSDARG00000010192,pax3a,PAX,30532,pax3a,27,5.5030599755202,0.904522613065327,114.0
ZDB-GENE-030321-1,gli1,2735,GLI1,ENSDARG00000101244,gli1,zf-C2H2,352930,gli1,27,0.787610619469027,0.5,114.0
ZDB-GENE-041203-2,foxp2,93986,FOXP2,ENSDARG00000005453,foxp2,Fork_head,555242,foxp2,26,2.49395770392749,0.432432432432432,114.0
ZDB-GENE-010724-17,erf,2077,ERF,ENSDARG00000063417,erf,ETS,560416,erf,26,0.829850746268657,0.456716417910448,114.0
ZDB-GENE-080722-15,nfixa,4784,NFIX,ENSDARG00000043226,nfixa,CTF/NFI,110437879,nfixa,25,2.84939759036145,0.813253012048193,114.0
ZDB-GENE-090312-183,camta1a,23261,CAMTA1,ENSDARG00000077428,camta1a,CG-1,797322,camta1a,24,3.25714285714286,1.0,114.0
ZDB-GENE-080403-10,vdrb,7421,VDR,ENSDARG00000070721,vdrb,THR-like,564511,vdrb,24,1.32046332046332,0.529411764705882,114.0
ZDB-GENE-030219-181,creb3l1,90993,CREB3L1,ENSDARG00000015793,creb3l1,TF_bZIP,338317,creb3l1,22,1.89554794520548,0.772260273972603,114.0
ZDB-GENE-990415-8,pax2a,5076,PAX2,ENSDARG00000028148,pax2a,PAX,30425,pax2a,21,7.6,1.0,114.0
ZDB-GENE-080229-1,camta1b,23261,CAMTA1,ENSDARG00000007824,camta1b,CG-1,497465,camta1b,21,2.6530612244898,0.73469387755102,114.0
ZDB-GENE-990415-51,tcf3a,6929,TCF3,ENSDARG00000005915,tcf3a,bHLH,30310,tcf3a,21,0.525,0.4375,114.0
ZDB-GENE-990415-201,pax7a,5081,PAX7,ENSDARG00000100398,pax7a,PAX,30587,pax7a,19,7.35833333333333,0.675,114.0
ZDB-GENE-060130-4,zfpm2a,23414,ZFPM2,ENSDARG00000040123,zfpm2a,zf-C2H2,568996,zfpm2a,19,6.28925619834711,0.71900826446281,114.0
ZDB-GENE-061013-59,foxo1a,2308,FOXO1,ENSDARG00000099555,foxo1a,Fork_head,768121,foxo1a,19,2.33179723502304,0.625,114.0
ZDB-GENE-050208-123,mecom,2122,MECOM,ENSDARG00000060808,mecom,zf-C2H2,-,mecom,19,1.72727272727273,0.772727272727273,114.0
ZDB-GENE-040616-2,esrrb,2103,ESRRB,ENSDARG00000004861,esrrb,ESR-like,405890,esrrb,19,1.13333333333333,0.571428571428571,114.0
ZDB-GENE-060531-23,nr3c2,4306,NR3C2,ENSDARG00000102082,nr3c2,ESR-like,562171,nr3c2,19,1.07142857142857,0.642857142857143,114.0
ZDB-GENE-080917-54,pax7b,5081,PAX7,ENSDARG00000070818,pax7b,PAX,566533,pax7b,18,4.0,0.5,114.0
ZDB-GENE-030723-2,nfe2l2a,4780,NFE2L2,ENSDARG00000042824,nfe2l2a,TF_bZIP,360149,nfe2l2a,18,2.0,0.882352941176471,114.0
ZDB-GENE-980526-68,stat3,6774,STAT3,ENSDARG00000022712,stat3,STAT,30767,stat3,18,1.15555555555556,0.511111111111111,114.0
ZDB-GENE-040818-1,stat5b,6776,STAT5A,ENSDARG00000055588,stat5b,STAT,445474,stat5b,18,0.555555555555556,0.444444444444444,114.0
ZDB-GENE-040818-1,stat5b,6777,STAT5B,ENSDARG00000055588,stat5b,STAT,445474,stat5b,18,0.555555555555556,0.444444444444444,114.0
ZDB-GENE-070712-3,alx4a,60529,ALX4,ENSDARG00000088332,alx4a,Homeobox,100006399,alx4a,17,3.79166666666667,0.633333333333333,114.0
ZDB-GENE-030819-1,tp63,8626,TP63,ENSDARG00000044356,tp63,P53,260407,tp63,17,3.36363636363636,0.848837209302326,114.0
ZDB-GENE-030131-9359,stat6,6778,STAT6,ENSDARG00000015902,stat6,STAT,337413,stat6,17,0.571428571428571,0.416666666666667,114.0
ZDB-GENE-060306-2,roraa,6095,RORA,ENSDARG00000031768,roraa,THR-like,564951,roraa,16,2.90149253731343,0.456716417910448,114.0
ZDB-GENE-080613-2,prdm16,63976,PRDM16,ENSDARG00000078324,PRDM16,zf-C2H2,-,prdm16,16,1.38095238095238,0.642857142857143,114.0
ZDB-GENE-060503-719,grhl2b,79977,GRHL2,ENSDARG00000061974,grhl2b,CP2,100034503,grhl2b,16,1.1897233201581,0.577075098814229,114.0
ZDB-GENE-080425-3,foxo1b,2308,FOXO1,ENSDARG00000061549,foxo1b,Fork_head,567969,foxo1b,15,1.33928571428571,0.553571428571429,114.0
ZDB-GENE-100910-5,aff4,27125,AFF4,ENSDARG00000001857,aff4,AF-4,556421,aff4,15,0.642857142857143,0.357142857142857,114.0
ZDB-GENE-020529-1,tbx15,6913,TBX15,ENSDARG00000002582,tbx15,T-box,246222,tbx15,14,2.29640718562874,0.9,114.0
ZDB-GENE-040708-1,prdm5,11107,PRDM5,ENSDARG00000006288,prdm5,zf-C2H2,432371,prdm5,14,1.5,0.55,114.0
ZDB-GENE-041001-172,myt1la,23040,MYT1L,ENSDARG00000008209,myt1la,zf-C2HC,559505,myt1la,14,0.922960725075529,0.427492447129909,114.0
ZDB-GENE-030820-2,stat5a,6776,STAT5A,ENSDARG00000019392,stat5a,STAT,369197,stat5a,14,0.673417721518987,0.39568345323741,114.0
ZDB-GENE-030820-2,stat5a,6777,STAT5B,ENSDARG00000019392,stat5a,STAT,369197,stat5a,14,0.673417721518987,0.39568345323741,114.0
ZDB-GENE-030603-1,mgaa,23269,MGA,ENSDARG00000078784,mgaa,T-box,569620,mgaa,14,0.5,0.4375,114.0
ZDB-GENE-011210-2,xbp1,7494,XBP1,ENSDARG00000035622,xbp1,TF_bZIP,140614,xbp1,13,2.16494845360825,0.742268041237113,114.0
ZDB-GENE-980526-253,mef2ca,4208,MEF2C,ENSDARG00000029764,mef2ca,SRF,30575,mef2ca,13,1.74987212276215,0.71150895140665,114.0
ZDB-GENE-100922-169,ikzf2,22807,IKZF2,ENSDARG00000069111,IKZF2,zf-C2H2,100150224,ikzf2,13,1.72383073496659,0.688195991091314,114.0
ZDB-GENE-121009-1,tub,7275,TUB,ENSDARG00000062165,tub,Tub,568677,tub,12,1.74545454545455,0.6,114.0
ZDB-GENE-040426-855,rorab,6095,RORA,ENSDARG00000001910,rorab,THR-like,554722,rorab,12,0.857142857142857,0.5,114.0
ZDB-GENE-040108-4,vezf1a,7716,VEZF1,ENSDARG00000008247,vezf1a,zf-C2H2,567023,vezf1a,12,0.841791044776119,0.394029850746269,114.0
ZDB-GENE-990415-82,gata3,2625,GATA3,ENSDARG00000016526,gata3,zf-GATA,30458,gata3,12,0.8,0.545454545454545,114.0
ZDB-GENE-980526-395,sox11a,6664,SOX11,ENSDARG00000077811,sox11a,HMG,30602,sox11a,12,0.555555555555556,0.363636363636364,114.0
ZDB-GENE-021115-9,klf6a,1316,KLF6,ENSDARG00000029072,klf6a,zf-C2H2,280650,klf6a,12,0.547619047619048,0.404761904761905,114.0
ZDB-GENE-051113-64,tcf3b,6929,TCF3,ENSDARG00000099999,tcf3b,bHLH,664768,tcf3b,12,0.304029304029304,0.3,114.0
ZDB-GENE-000210-23,meis2b,4212,MEIS2,ENSDARG00000077840,meis2b,Homeobox,30066,meis2b,11,0.583333333333333,0.365384615384615,114.0
ZDB-GENE-030131-7105,satb1b,6304,SATB1,ENSDARG00000062621,satb1b,CUT,-,satb1b,10,1.08595041322314,0.3,114.0
ZDB-GENE-040718-255,rel,5966,REL,ENSDARG00000055276,rel,RHD,415101,rel,10,0.79136690647482,0.453237410071942,114.0
ZDB-GENE-090814-1,tcf4,6925,TCF4,ENSDARG00000107408,TCF4,bHLH,-,tcf4,10,0.766666666666667,0.483333333333333,114.0
ZDB-GENE-001030-4,pax2b,5076,PAX2,ENSDARG00000032578,pax2b,PAX,60638,pax2b,9,3.65454545454545,0.8,114.0
ZDB-GENE-091118-71,pou6f2,11281,POU6F2,ENSDARG00000086362,pou6f2,Pou,100001518,pou6f2,9,2.26666666666667,0.230769230769231,114.0
ZDB-GENE-990415-200,pax6a,5080,PAX6,ENSDARG00000103379,pax6a,PAX,30567,pax6a,9,1.16666666666667,0.568627450980392,114.0
ZDB-GENE-060607-11,epas1b,2034,EPAS1,ENSDARG00000057671,epas1b,Others,555192,epas1b,9,1.05882352941176,0.470588235294118,114.0
ZDB-GENE-000622-1,gata6,2627,GATA6,ENSDARG00000103589,gata6,zf-GATA,58076,gata6,9,0.833333333333333,0.52,114.0
ZDB-GENE-030131-9854,grhl3,57822,GRHL3,ENSDARG00000078552,grhl3,CP2,794613,grhl3,9,0.755011135857461,0.44097995545657,114.0
ZDB-GENE-990415-151,mxi1,4601,MXI1,ENSDARG00000040884,mxi1,bHLH,30485,mxi1,9,0.741935483870968,0.451612903225806,114.0
ZDB-GENE-050523-1,gli2b,2736,GLI2,ENSDARG00000020884,gli2b,zf-C2H2,548610,gli2b,9,0.464233270400671,0.304594084329767,114.0
ZDB-GENE-060130-5,zfpm2b,23414,ZFPM2,ENSDARG00000100560,zfpm2b,zf-C2H2,568464,zfpm2b,8,1.43636363636364,0.507438016528926,114.0
ZDB-GENE-040629-3,runx2a,860,RUNX2,ENSDARG00000040261,runx2a,Runt,405784,runx2a,8,1.04545454545455,0.393258426966292,114.0
ZDB-GENE-080204-57,myrf,745,MYRF,ENSDARG00000078676,myrf,NDT80/PhoG,570792,myrf,8,1.03550295857988,0.568047337278107,114.0
ZDB-GENE-001030-2,pax5,5079,PAX5,ENSDARG00000037383,pax5,PAX,60636,pax5,8,0.949331988908495,0.304347826086957,114.0
ZDB-GENE-991124-7,tbx5a,6910,TBX5,ENSDARG00000024894,tbx5a,T-box,30071,tbx5a,8,0.738095238095238,0.523809523809524,114.0
ZDB-GENE-980526-260,gata2a,2624,GATA2,ENSDARG00000059327,gata2a,zf-GATA,30480,gata2a,8,0.644444444444444,0.422222222222222,114.0
ZDB-GENE-990415-252,nr2f2,7026,NR2F2,ENSDARG00000040926,nr2f2,RXR-like,30424,nr2f2,8,0.387096774193548,0.25,114.0
ZDB-GENE-041229-4,pitx3,5309,PITX3,ENSDARG00000070069,pitx3,Homeobox,402974,pitx3,7,1.34782608695652,0.534782608695652,114.0
ZDB-GENE-980526-499,stat1a,6772,STAT1,ENSDARG00000006266,stat1a,STAT,30768,stat1a,7,1.21428571428571,0.571428571428571,114.0
ZDB-GENE-001031-1,pax6b,5080,PAX6,ENSDARG00000045936,pax6b,PAX,60639,pax6b,7,0.837209302325581,0.356521739130435,114.0
ZDB-GENE-020529-2,tbx18,9096,TBX18,ENSDARG00000036930,tbx18,T-box,572713,tbx18,7,0.65,0.4,114.0
ZDB-GENE-050428-1,hmgb3a,3149,HMGB3,ENSDARG00000056725,hmgb3a,HMG,561025,hmgb3a,7,0.6,0.35,114.0
ZDB-GENE-061218-1,jarid2a,3720,JARID2,ENSDARG00000060925,jarid2a,ARID,100007426,jarid2a,7,0.53968253968254,0.343915343915344,114.0
ZDB-GENE-001103-2,sox9b,6662,SOX9,ENSDARG00000043923,sox9b,HMG,60642,sox9b,7,0.5,0.35,114.0
ZDB-GENE-990917-4,tbx2a,6909,TBX2,ENSDARG00000018025,tbx2a,T-box,573084,tbx2a,7,0.474308300395257,0.351778656126482,114.0
ZDB-GENE-030131-9033,prrx1b,5396,PRRX1,ENSDARG00000042027,prrx1b,Homeobox,337089,prrx1b,7,0.447761194029851,0.328358208955224,114.0
ZDB-GENE-060503-700,cica,23152,CIC,ENSDARG00000071150,cica,HMG,560266,cica,7,0.411764705882353,0.294117647058824,114.0
ZDB-GENE-980526-558,wt1a,7490,WT1,ENSDARG00000031420,wt1a,zf-C2H2,30245,wt1a,6,2.13636363636364,0.571146245059289,114.0
ZDB-GENE-061204-2,rorb,6096,RORB,ENSDARG00000033498,rorb,THR-like,567943,rorb,6,2.04545454545455,0.772727272727273,114.0
ZDB-GENE-070912-212,satb2,23314,SATB2,ENSDARG00000061885,satb2,CUT,563435,satb2,6,0.797872340425532,0.470744680851064,114.0
ZDB-GENE-000427-7,tbx20,57057,TBX20,ENSDARG00000005150,tbx20,T-box,57936,tbx20,6,0.786666666666667,0.4375,114.0
ZDB-GENE-050419-73,zbtb18,10472,ZBTB18,ENSDARG00000028228,zbtb18,ZBTB,100003157,zbtb18,6,0.725609756097561,0.447368421052632,114.0
ZDB-GENE-070209-80,tbx3a,6926,TBX3,ENSDARG00000002216,tbx3a,T-box,556870,tbx3a,6,0.657534246575342,0.412671232876712,114.0
ZDB-GENE-040724-202,nr6a1b,2649,NR6A1,ENSDARG00000014480,nr6a1b,GCNF-like,497167,nr6a1b,6,0.617834394904459,0.328025477707006,114.0
ZDB-GENE-020228-2,sall1a,6299,SALL1,ENSDARG00000074319,sall1a,zf-C2H2,555721,sall1a,6,0.6,0.466666666666667,114.0
ZDB-GENE-041014-328,atf6,22926,ATF6,ENSDARG00000012656,atf6,TF_bZIP,558071,atf6,6,0.583333333333333,0.416666666666667,114.0
ZDB-GENE-980526-164,spi1b,6688,SPI1,ENSDARG00000000767,spi1b,ETS,30117,spi1b,5,1.75,0.694444444444444,114.0
ZDB-GENE-990714-27,pitx2,5308,PITX2,ENSDARG00000036194,pitx2,Homeobox,30164,pitx2,5,1.10204081632653,0.518672199170125,114.0
ZDB-GENE-000605-1,runx1,861,RUNX1,ENSDARG00000087646,runx1,Runt,58126,runx1,5,0.903614457831325,0.462650602409639,114.0
ZDB-GENE-980526-340,gata5,140628,GATA5,ENSDARG00000017821,gata5,zf-GATA,30482,gata5,5,0.793333333333333,0.513333333333333,114.0
ZDB-GENE-991110-14,myb,4602,MYB,ENSDARG00000053666,myb,MYB,30519,myb,5,0.756613756613757,0.5,114.0
ZDB-GENE-030805-5,tbx1,6899,TBX1,ENSDARG00000031891,tbx1,T-box,368206,tbx1,5,0.690265486725664,0.353982300884956,114.0
ZDB-GENE-030708-2,zic3,7547,ZIC3,ENSDARG00000071497,zic3,zf-C2H2,368263,zic3,5,0.580357142857143,0.383928571428571,114.0
ZDB-GENE-011207-1,sox10,6663,SOX10,ENSDARG00000077467,sox10,HMG,140616,sox10,5,0.443037974683544,0.266829865361077,114.0
ZDB-GENE-060328-2,sall4,57167,SALL4,ENSDARG00000044485,sall4,zf-C2H2,572527,sall4,5,0.4375,0.354838709677419,114.0
ZDB-GENE-040426-2308,six1b,6495,SIX1,ENSDARG00000026473,six1b,Homeobox,404627,six1b,5,0.434782608695652,0.326086956521739,114.0
ZDB-GENE-120525-2,bach2a,60468,BACH2,ENSDARG00000036569,bach2a,TF_bZIP,557210,bach2a,4,2.70506912442396,0.571428571428571,114.0
ZDB-GENE-070824-4,nr4a3,8013,NR4A3,ENSDARG00000055854,nr4a3,NGFIB-like,548604,nr4a3,4,1.31313131313131,0.686868686868687,114.0
ZDB-GENE-060131-1,ar,367,AR,ENSDARG00000067976,ar,ESR-like,100005148,ar,4,1.1875,0.75,114.0
ZDB-GENE-980526-304,ikzf1,10320,IKZF1,ENSDARG00000013539,ikzf1,zf-C2H2,30177,ikzf1,4,0.75,0.444444444444444,114.0
ZDB-GENE-050127-1,gcm2,9247,GCM2,ENSDARG00000045413,gcm2,GCM,449615,gcm2,4,0.694444444444444,0.472222222222222,114.0
ZDB-GENE-980526-399,pax9,5083,PAX9,ENSDARG00000053829,pax9,PAX,30558,pax9,4,0.590909090909091,0.318181818181818,114.0
ZDB-GENE-980526-466,sox11b,6664,SOX11,ENSDARG00000095743,sox11b,HMG,30603,sox11b,4,0.549450549450549,0.27032967032967,114.0
ZDB-GENE-030909-1,sox2,6657,SOX2,ENSDARG00000070913,sox2,HMG,378723,sox2,4,0.516129032258065,0.333333333333333,114.0
ZDB-GENE-060929-1178,foxj1a,2302,FOXJ1,ENSDARG00000101919,foxj1a,Fork_head,767737,foxj1a,4,0.47239263803681,0.363636363636364,114.0
ZDB-GENE-070209-164,fosl2,2355,FOSL2,ENSDARG00000040623,fosl2,TF_bZIP,558921,fosl2,4,0.467625899280576,0.280575539568345,114.0
ZDB-GENE-040724-215,rorcb,6097,RORC,ENSDARG00000017780,rorcb,THR-like,562258,rorcb,4,0.402985074626866,0.277611940298507,114.0
ZDB-GENE-080514-3,smarcc1a,6599,SMARCC1,ENSDARG00000017397,smarcc1a,MYB,403020,smarcc1a,4,0.4,0.3,114.0
ZDB-GENE-020104-1,hnf1ba,6928,HNF1B,ENSDARG00000006615,hnf1ba,Homeobox,792391,hnf1ba,4,0.363636363636364,0.318181818181818,114.0
ZDB-GENE-990415-152,max,4149,MAX,ENSDARG00000024844,max,bHLH,30467,max,4,0.305555555555556,0.25,114.0
ZDB-GENE-050522-534,gfi1aa,2672,GFI1,ENSDARG00000020746,gfi1aa,zf-C2H2,553814,gfi1aa,3,2.0289156626506,0.655421686746988,114.0
ZDB-GENE-040616-2,esrrb,2103,ESRRB,ENSDARG00000100847,esrrb,ESR-like,407693,esrrb,3,2.0,0.683673469387755,114.0
ZDB-GENE-040629-4,runx2b,860,RUNX2,ENSDARG00000059233,runx2b,Runt,405788,runx2b,3,1.32,0.235294117647059,114.0
